Requested Product,price for quantity,PF ID,PF Name,Specifics
Christmas pudding,avg,353,Sponge Pudding,"Local Attribute: TOV Flavour,   Value: Christmas Pudding (may have other flavours, like fruit, as well)"
Pack of mince pies - 6,6,1285,Pies,"Local Attribute: TOV Flavour,   Value: Mincemeat (may have other flavours, like Iced, as well)"
Average bottle of house wine - red wine,750ml,551,Red Wine,Own Brand - regular tier
Average bottle of house wine - white wine,750ml,547,White Wine,Own Brand - regular tier
Six pack of lager,only 6 packs,586,Beers & Lagers,"Local Attribute: Beer Type,  Value: Regular Beer"
Christmas crackers,avg,1747,Christmas Crackers,
Bottle of whiskey,700ml,631,Blended Whisky,
Bottle of whiskey,700ml,567,Malt Whiskey,
4kg gammon joint  (fresh),4kg,1562,Gammons & Hams,"Local Attribute: Product Type,  Value: Gammon  &    Local Attribute: Cut Type,  Value: Joint"
4kg gammon joint  (frozen),4kg,300,Frozen Pork,"Local Attribute: Product Type,  Value: Gammon  &    Local Attribute: Form,  Value: Joint"
Brandy butter,100g,2112,Brandy Butter,
Fresh Turkey,per Kg,1477,Fresh Turkey,
Frozen Turkey,per Kg,945,Frozen Turkey,
Potatoes for roasting,Per Kg,785,Potatoes,Local Attribute: Intended For  Value: Roasting
Fresh Carrots,Per Kg,784,Carrots,Local Attribute: Product Type   Value : Chantenay
Frozen Carrots,Per Kg,2205,Frozen Carrots,Local Attribute: Form   Value: Baby
Fresh Sprouts,Per Kg,77,Brussels Sprouts,
Stuffing,per Kg,1993,Stuffing,
Stuffing Mix,per 100g,1353,Stuffing & Dumpling Mix,Local Attribute: Product Type  Value: Stuffing Mix
ÊParsnips,per 500g,1197,ÊParsnips,"Local Attribute: Mini - Value, No, ÊLocal Attribute: Organic, Value: No"
ÊGravy,100g,1498,ÊGravy,
Cranberry Sauce,100g,2145,Cranberry Sauce,"ÊLocal Attribute: Organic, Value: No"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
